Emenda;Autor
EMC 408/2017 PL678716 => PL 6787/2016;Valdir Colatto
EMC 409/2017 PL678716 => PL 6787/2016;Valdir Colatto
EMC 410/2017 PL678716 => PL 6787/2016;Valdir Colatto
EMC 411/2017 PL678716 => PL 6787/2016;Valdir Colatto
EMC 412/2017 PL678716 => PL 6787/2016;Valdir Colatto
EMC 413/2017 PL678716 => PL 6787/2016;Valdir Colatto
EMC 414/2017 PL678716 => PL 6787/2016;Valdir Colatto
EMC 415/2017 PL678716 => PL 6787/2016;Valdir Colatto
EMC 416/2017 PL678716 => PL 6787/2016;Valdir Colatto
EMC 417/2017 PL678716 => PL 6787/2016;Valdir Colatto
EMC 418/2017 PL678716 => PL 6787/2016;Valdir Colatto
EMC 419/2017 PL678716 => PL 6787/2016;Valdir Colatto
EMC 420/2017 PL678716 => PL 6787/2016;Valdir Colatto
EMC 421/2017 PL678716 => PL 6787/2016;Augusto Coutinho 
EMC 422/2017 PL678716 => PL 6787/2016;Ricardo Izar
EMC 423/2017 PL678716 => PL 6787/2016;Chico Alencar
